0,turn,mfd_netbuyamt,mfd_netbuyvol,mfd_netbuyamt_a,mfd_netbuyvol_a,mfd_buyvol_open_m,mfd_buyvol_close_m,mkt_cap_ard,pe_ttm,ps_ttm,pb_lf,pcf_ocf_ttm,dividendyield2,mkt_freeshares,netprofit_ttm,operatecashflow_ttm,cashflow_ttm,tech_upnum,tech_downnum,west_netprofit_YOY,west_netprofit_CAGR,west_avgroe_YOY,west_sales_YOY,west_avgebit_YOY,west_avgebt_YOY,west_avgoperatingprofit_YOY,west_avgoc_YOY,yoy_or,yoynetprofit,yoyocf,yoyfcf,yoyroe,invturndays,arturndays,netturndays,current,quick,debttoassets,ocftosales,roe_avg,roa,netprofitmargin,expensetosales,operateexpensetogr,val_pb_wgt,val_pe_avg,tech_uppct,tech_downpct
2014-08-11,1.6527,,,,,,,764000000000.0,49.88000107,6.0554,4.960000038,33.7644,0.5583,323000000000.0,15997722270,22394233630,1288349088.0,45,7,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.827,95.4275,75.0,11.6667
2014-08-12,1.783,,,,,,,766000000000.0,50.02000046,6.0682,4.96999979,33.8426,0.557,323000000000.0,15997722270,22394233630,1288349088.0,33,19,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.8367,96.3859,55.0,31.6667
2014-08-13,2.0436,,,,,,,763000000000.0,49.70999908,6.0386,4.940000057,33.6875,0.5552,322000000000.0,15997722270,22394233630,1288349088.0,16,36,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.8138,95.8808,26.6667,60.0
2014-08-14,1.8579,,,,,,,760000000000.0,49.58000183,6.0312,4.920000076,33.6911,0.5569,321000000000.0,15997722270,22394233630,1288349088.0,21,30,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.7979,96.2378,35.0,50.0
2014-08-15,2.165,,,,,,,768000000000.0,50.15999985,6.051,4.960000038,34.2087,0.5511,324000000000.0,15997722270,22394233630,1288349088.0,47,5,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.8306,97.1516,78.3333,8.3333
2014-08-18,3.3747,,,,,,,793000000000.0,51.63000107,6.244,5.110000134,35.2486,0.5368,335000000000.0,15997722270,22394233630,1288349088.0,51,1,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.9852,101.1254,85.0,1.6667
2014-08-19,4.8659,,,,,,,808000000000.0,52.22000122,6.3619,5.159999847,36.0758,0.5269,339000000000.0,15997722270,22394233630,1288349088.0,33,16,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.0789,103.0085,55.0,26.6667
2014-08-20,3.6006,,,,,,,800000000000.0,51.90999985,6.2987,5.130000114,36.0123,0.46,337000000000.0,15997722270,22394233630,1288349088.0,10,41,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.0239,101.6385,16.6667,68.3333
2014-08-21,4.8203,,,,,,,831000000000.0,53.56999969,6.5237,5.289999962,37.2304,0.443,349000000000.0,15997722270,22394233630,1288349088.0,48,3,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.2179,105.7555,80.0,5.0
2014-08-22,4.6304,,,,,,,836000000000.0,53.90000153,6.5528,5.289999962,38.1141,0.4649,350000000000.0,15997722270,22394233630,1288349088.0,22,27,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.1686,108.6062,36.6667,45.0
2014-08-25,3.927,,,,,,,833000000000.0,53.52999878,6.5083,5.25,37.7868,0.4666,348000000000.0,15997722270,22394233630,1288349088.0,18,31,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.1733,106.0332,30.0,51.6667
2014-08-26,3.5749,,,,,,,818000000000.0,52.72000122,6.3034,5.179999828,36.0253,0.4752,342000000000.0,15997722270,22394233630,1288349088.0,6,43,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.1718,100.2934,10.0,71.6667
2014-08-27,2.5658,,,,,,,818000000000.0,52.83000183,6.2883,5.190000057,36.148,0.4756,343000000000.0,15997722270,22394233630,1288349088.0,26,23,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.1658,100.2563,43.3333,38.3333
2014-08-28,2.4724,,,,,,,814000000000.0,52.29999924,6.1794,5.159999847,35.752,0.4804,340000000000.0,15997722270,22394233630,1288349088.0,10,39,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.1217,99.545,16.6667,65.0
2014-08-29,2.062,,,,,,,815000000000.0,52.5,6.1878,5.179999828,35.9205,0.4795,341000000000.0,15997722270,22394233630,1288349088.0,36,15,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.1266,100.0909,60.0,25.0
2014-09-01,2.7238,,,,,,,831000000000.0,50.66999817,6.2927,5.260000229,36.5577,0.4705,347000000000.0,15997722270,22394233630,1288349088.0,47,6,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.2195,102.4349,78.3333,10.0
2014-09-02,2.96,,,,,,,839000000000.0,51.15999985,6.3504,5.309999943,36.8932,0.4662,350000000000.0,15997722270,22394233630,1288349088.0,47,5,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.2674,103.6452,78.3333,8.3333
2014-09-03,4.4648,,,,,,,855000000000.0,52.11999893,6.4752,5.409999847,37.6181,0.4572,357000000000.0,15997722270,22394233630,1288349088.0,47,6,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,5.3709,105.6869,78.3333,10.0
